iter	Passed	Remaining
174	332	1567
175	333	1560
176	334	1553
177	334	1546
178	335	1539
179	336	1534
180	337	1527
181	338	1521
182	339	1514
183	340	1508
184	340	1501
185	341	1494
186	342	1489
187	343	1483
188	344	1477
189	345	1471
190	345	1464
191	346	1458
192	347	1452
193	348	1446
194	349	1441
195	350	1435
196	350	1429
197	351	1423
198	352	1418
199	353	1412
200	353	1406
201	354	1400
202	355	1395
203	356	1389
204	356	1384
205	357	1378
206	358	1373
207	359	1368
208	360	1362
209	361	1358
210	362	1355
211	394	1465
212	395	1461
213	396	1457
214	397	1451
215	398	1446
216	399	1440
217	400	1435
218	400	1429
219	402	1425
220	403	1422
221	409	1435
222	410	1431
223	411	1427
224	412	1421
225	413	1416
226	414	1411
227	415	1406
228	416	1401
229	417	1396
230	418	1391
231	418	1386
232	419	1381
233	420	1377
234	421	1372
235	422	1367
236	423	1362
237	424	1357
238	424	1352
239	425	1347
240	426	1344
241	427	1339
242	428	1335
243	429	1330
244	430	1326
245	431	1321
246	432	1317
247	433	1314
248	434	1311
249	436	1309
250	437	1305
251	438	1300
252	438	1296
253	440	1292
254	441	1289
255	442	1284
256	443	1280
257	444	1277
258	445	1273
259	446	1269
260	447	1266
261	448	1262
262	448	1257
263	449	1253
264	450	1249
265	451	1246
266	453	1244
267	454	1240
268	455	1236
269	455	1232
270	456	1228
271	457	1225
272	459	1222
273	460	1220
274	461	1216
275	462	1212
276	463	1208
277	464	1206
278	466	1205
279	467	1203
280	468	1199
281	469	1196
282	470	1192
283	472	1190
284	473	1187
285	474	1183
286	475	1181
287	476	1178
288	477	1175
289	478	1171
290	479	1168
291	480	1164
292	481	1160
293	482	1159
294	483	1156
295	484	1153
296	485	1150
297	487	1147
298	488	1145
299	489	1143
300	490	1140
301	492	1137
302	493	1134
303	493	1130
304	495	1128
305	495	1124
306	496	1121
307	497	1118
308	498	1114
309	499	1111
310	500	1107
311	501	1106
312	502	1103
313	503	1100
314	505	1098
315	506	1095
316	507	1094
317	509	1091
318	509	1088
319	510	1085
320	511	1082
321	512	1079
322	513	1076
323	514	1073
324	515	1070
325	516	1067
326	517	1064
327	518	1062
328	519	1059
329	520	1057
330	521	1054
331	522	1051
332	523	1048
333	524	1045
334	525	1042
335	526	1040
336	527	1038
337	530	1039
338	534	1041
339	535	1038
340	536	1036
341	538	1035
342	539	1033
343	540	1031
344	541	1028
345	542	1025
346	543	1022
347	544	1020
348	546	1018
349	547	1016
350	547	1013
351	548	1010
352	549	1007
353	551	1006
354	553	1006
355	554	1003
356	556	1001
357	557	999
358	558	997
359	559	994
360	560	992
361	561	989
362	563	987
363	564	986
364	565	983
365	566	981
366	567	978
367	568	976
368	569	974
369	570	971
370	571	968
371	572	966
372	573	963
373	573	960
374	575	958
375	575	955
376	576	952
377	577	950
378	578	947
379	579	944
380	579	942
381	581	939
382	582	937
383	583	935
384	584	932
385	584	930
386	585	927
387	586	925
388	587	923
389	588	920
390	589	918
391	590	915
392	591	913
393	592	911
394	593	908
395	594	906
396	595	904
397	596	901
398	597	899
399	597	896
400	598	894
401	599	892
402	600	890
403	601	887
404	602	884
405	603	882
406	603	879
407	604	877
408	605	875
409	607	873
410	607	871
411	608	868
412	609	866
413	610	863
414	611	861
415	612	859
416	613	857
417	614	855
418	615	852
419	615	850
420	616	848
421	618	846
422	618	844
423	619	841
424	620	839
425	621	837
426	622	834
427	622	832
428	623	830
429	624	828
430	625	826
431	626	823
432	627	821
433	628	819
434	628	816
435	629	814
436	631	812
437	631	810
438	632	808
439	633	806
440	634	803
441	635	801
442	635	799
443	637	798
444	638	796
445	639	793
446	639	791
447	640	789
448	641	787
449	642	785
450	643	783
451	644	780
452	644	778
453	645	776
454	646	774
455	647	772
456	648	770
457	649	768
458	650	766
459	650	764
460	651	762
461	652	759
462	653	757
463	654	755
464	655	754
465	656	752
466	657	750
467	657	747
468	658	745
469	659	743
470	660	741
471	661	739
472	662	737
473	662	735
474	663	733
475	664	731
476	665	729
477	665	727
478	666	725
479	667	723
480	669	722
481	670	720
482	671	718
483	672	716
484	673	714
485	674	713
486	675	711
487	676	709
488	676	707
489	677	705
490	678	703
491	679	701
492	680	699
493	681	697
494	681	695
495	683	694
496	684	692
497	685	690
498	687	690
499	688	688
500	689	686
501	690	684
502	691	682
503	692	681
504	693	680
505	694	678
506	695	676
507	696	674
508	697	673
509	699	672
510	700	670
511	701	668
512	702	666
513	703	664
514	704	663
515	705	661
516	706	659
517	706	657
518	707	655
519	708	653
520	709	652
521	710	650
522	711	648
523	712	647
524	713	645
525	714	643
526	714	641
527	715	639
528	716	637
529	717	636
530	718	634
531	719	633
532	720	631
533	721	629
534	722	627
535	722	625
536	724	624
537	725	623
538	726	621
539	727	619
540	727	617
541	728	615
542	729	614
543	730	612
544	731	610
545	732	609
546	733	607
547	734	605
548	735	603
549	736	602
550	736	600
551	737	598
552	738	596
553	739	595
554	740	593
555	741	592
556	742	590
557	743	589
558	744	587
559	745	585
560	745	583
561	746	582
562	747	580
563	748	578
564	749	577
565	750	575
566	750	573
567	751	571
568	752	570
569	753	568
570	754	566
571	755	565
572	756	563
573	757	561
574	757	560
575	758	558
576	759	556
577	760	555
578	761	553
579	762	552
580	763	550
581	764	548
582	765	547
583	765	545
584	766	543
585	767	542
586	768	540
587	769	539
588	770	537
589	771	535
590	771	534
591	772	532
592	773	531
593	774	529
594	775	527
595	776	526
596	777	524
597	777	522
598	778	521
599	779	519
600	780	518
601	781	516
602	782	515
603	783	513
604	783	511
605	784	510
606	785	508
607	786	506
608	787	505
609	788	504
610	789	502
611	789	500
612	790	499
613	791	497
614	792	496
615	793	494
616	794	493
617	795	491
618	796	490
619	797	488
620	797	486
621	799	485
622	799	484
623	800	482
624	801	480
625	802	479
626	803	477
627	804	476
628	805	474
629	805	473
630	806	471
631	807	470
632	808	468
633	809	467
634	809	465
635	810	464
636	811	462
637	812	461
638	813	459
639	814	457
640	814	456
641	815	454
642	816	453
643	817	451
644	818	450
645	819	449
646	820	447
647	821	446
648	822	444
649	823	443
650	824	441
651	825	440
652	826	439
653	827	437
654	828	436
655	830	435
656	831	433
657	831	432
658	832	431
659	834	429
660	835	428
661	836	427
662	837	425
663	838	424
664	839	422
665	839	421
666	840	419
667	841	418
668	842	417
669	843	415
670	844	414
671	845	412
672	846	411
673	846	409
674	847	408
675	848	406
676	853	407
677	854	405
678	855	404
679	856	403
680	857	401
681	857	400
682	858	398
683	859	397
684	860	395
685	861	394
686	862	392
687	863	391
688	864	390
689	864	388
690	865	387
691	866	385
692	867	384
693	868	382
694	869	381
695	870	380
696	871	378
697	871	377
698	872	375
699	873	374
700	874	373
701	875	371
702	876	370
703	877	368
704	878	367
705	879	366
706	880	364
707	881	363
708	883	362
709	884	361
710	884	359
711	886	358
712	886	357
713	887	355
714	888	354
715	889	352
716	890	351
717	891	350
718	892	348
719	893	347
720	894	346
721	895	344
722	896	343
723	897	342
724	898	340
725	900	339
726	901	338
727	902	337
728	903	335
729	904	334
730	905	333
731	906	331
732	907	330
733	907	329
734	908	327
735	909	326
736	911	325
737	912	323
738	913	322
739	914	321
740	914	319
741	915	318
742	916	317
743	917	315
744	918	314
745	919	313
746	920	311
747	921	310
748	922	309
749	923	307
750	924	306
751	925	305
752	926	303
753	927	302
754	928	301
755	929	299
756	930	298
757	931	297
758	932	295
759	932	294
760	933	293
761	934	291
762	935	290
763	937	289
764	938	288
765	938	286
766	939	285
767	940	284
768	941	282
769	942	281
770	943	280
771	944	278
772	945	277
773	946	276
774	946	274
775	947	273
776	948	272
777	949	271
778	950	269
779	951	268
780	952	267
781	953	265
782	954	264
783	955	263
784	955	261
785	956	260
786	957	259
787	958	257
788	959	256
789	960	255
790	961	254
791	962	252
792	963	251
793	965	250
794	969	249
795	971	248
796	972	247
797	974	246
798	976	245
799	977	244
800	979	243
801	981	242
802	982	240
803	983	239
804	983	238
805	984	237
806	986	235
807	987	234
808	988	233
809	989	232
810	989	230
811	990	229
812	991	228
813	992	226
814	993	225
815	994	224
816	995	222
817	996	221
818	997	220
819	998	219
820	999	217
821	1000	216
822	1001	215
823	1002	214
824	1003	212
825	1004	211
826	1005	210
827	1005	208
828	1006	207
829	1007	206
830	1008	205
831	1009	203
832	1010	202
833	1011	201
834	1012	200
835	1013	198
836	1014	197
837	1014	196
838	1015	194
839	1016	193
840	1017	192
841	1018	191
842	1019	189
843	1020	188
844	1020	187
845	1021	185
846	1022	184
847	1023	183
848	1024	182
849	1025	180
850	1026	179
851	1027	178
852	1027	177
853	1028	175
854	1030	174
855	1031	173
856	1032	172
857	1033	171
858	1034	169
859	1035	168
860	1036	167
861	1037	166
862	1038	164
863	1039	163
864	1040	162
865	1041	161
866	1042	159
867	1043	158
868	1044	157
869	1045	156
870	1051	155
871	1052	154
872	1056	153
873	1058	152
874	1060	151
875	1062	150
876	1063	149
877	1065	148
878	1066	146
879	1067	145
880	1068	144
881	1069	143
882	1070	141
883	1071	140
884	1072	139
885	1073	138
886	1075	136
887	1076	135
888	1076	134
889	1077	133
890	1078	131
891	1080	130
892	1082	129
893	1083	128
894	1083	127
895	1085	125
896	1086	124
897	1087	123
898	1088	122
899	1089	121
900	1090	119
901	1092	118
902	1093	117
903	1094	116
904	1095	115
905	1096	113
906	1098	112
907	1099	111
908	1100	110
909	1101	108
910	1102	107
911	1103	106
912	1105	105
913	1106	104
914	1107	102
915	1108	101
916	1109	100
917	1111	99
918	1112	98
919	1114	96
920	1115	95
921	1119	94
922	1121	93
923	1122	92
924	1123	91
925	1124	89
926	1125	88
927	1126	87
928	1127	86
929	1128	84
930	1129	83
931	1130	82
932	1131	81
933	1133	80
934	1134	78
935	1135	77
936	1136	76
937	1137	75
938	1138	73
939	1138	72
940	1139	71
941	1140	70
942	1141	68
943	1142	67
944	1143	66
945	1144	65
946	1145	64
947	1146	62
948	1147	61
949	1148	60
950	1149	59
951	1150	58
952	1151	56
953	1152	55
954	1153	54
955	1154	53
956	1155	51
957	1156	50
958	1157	49
959	1158	48
960	1159	47
961	1160	45
962	1161	44
963	1162	43
964	1163	42
965	1164	40
966	1164	39
967	1165	38
968	1166	37
969	1167	36
970	1168	34
971	1169	33
972	1170	32
973	1171	31
974	1171	30
975	1172	28
976	1173	27
977	1174	26
978	1175	25
979	1176	24
980	1177	22
981	1177	21
982	1178	20
983	1179	19
984	1180	17
985	1181	16
986	1182	15
987	1183	14
988	1184	13
989	1184	11
990	1185	10
991	1186	9
992	1187	8
993	1188	7
994	1189	5
995	1190	4
996	1191	3
997	1192	2
998	1193	1
999	1194	0
